"created","tp","pre","hum","amb"
2018-05-23 09:13:11,29.15,721.78,62.22,30.17
2018-05-23 09:13:23,29.22,721.78,62.27,30.19
2018-05-23 09:13:34,0,721.78,62.3,0
2018-05-23 09:13:35,29.11,0,0,30.23
2018-05-23 09:13:46,29.25,721.78,62.3,30.25
2018-05-23 09:13:57,29.15,721.78,62.29,30.28
2018-05-23 09:14:08,0,0,62.28,0
2018-05-23 09:14:09,29.22,721.78,0,30.31
2018-05-23 09:14:20,29.25,721.78,62.25,30.35
2018-05-23 09:14:31,29.28,721.71,62.21,30.38
2018-05-23 09:14:43,29.18,721.78,62.16,30.43
2018-05-23 09:14:56,29.22,721.78,62.09,30.47
2018-05-23 09:15:07,29.18,721.78,62.01,30.53
2018-05-23 09:15:18,29.22,721.71,61.93,30.58
2018-05-23 09:15:30,29.25,721.78,61.87,30.63
2018-05-23 09:15:41,29.32,721.71,61.76,30.67
2018-05-23 09:15:52,29.11,721.78,61.66,30.72
2018-05-23 09:16:03,0,721.78,61.57,30.78
2018-05-23 09:16:04,29.22,0,0,0
2018-05-23 09:16:15,29.15,721.78,61.46,30.84
2018-05-23 09:16:26,29.25,721.78,61.35,30.88
2018-05-23 09:16:38,29.28,721.78,61.24,30.94
2018-05-23 09:16:49,29.25,721.78,61.15,30.99
2018-05-23 09:17:00,29.22,721.78,61.02,31.04
2018-05-23 09:17:11,29.32,721.71,60.91,31.09
2018-05-23 09:17:23,29.22,721.71,60.78,31.14
2018-05-23 09:17:34,29.15,721.71,60.66,31.2
2018-05-23 09:17:45,29.18,721.71,60.57,31.24
2018-05-23 09:17:57,29.25,721.71,60.45,31.29
2018-05-23 09:18:08,29.22,721.71,60.32,31.34
2018-05-23 09:18:19,29.25,721.71,60.18,31.39
2018-05-23 09:18:30,29.18,721.78,60.06,31.44
2018-05-23 09:18:41,29.11,721.78,59.93,31.49
2018-05-23 09:18:53,29.11,721.78,59.82,31.54
2018-05-23 09:19:04,29.28,721.71,59.72,31.59
2018-05-23 09:19:15,29.22,721.71,59.6,31.63
2018-05-23 09:19:26,29.18,721.71,59.5,31.67
2018-05-23 09:19:38,29.18,721.71,59.41,31.72
2018-05-23 09:19:49,29.05,721.71,59.27,31.76
2018-05-23 09:20:00,29.15,721.78,59.15,31.81
2018-05-23 09:20:11,0,721.71,59.06,31.85
