"created","tp","pre","hum","amb"
2018-04-20 07:14:23,0,0,50.18,0
2018-04-20 07:14:24,25.42,0,0,30.72
2018-04-20 07:14:35,25.46,0,50.21,30.71
2018-04-20 07:14:46,25.39,0,50.2,30.71
2018-04-20 07:14:57,25.42,0,50.22,30.7
2018-04-20 07:15:09,25.42,0,50.23,30.7
2018-04-20 07:15:20,25.39,0,50.24,30.69
2018-04-20 07:15:31,0,0,50.26,0
2018-04-20 07:15:32,25.36,0,0,30.69
2018-04-20 07:15:43,25.42,0,50.29,30.68
2018-04-20 07:15:54,25.36,0,50.28,30.68
2018-04-20 07:16:05,0,0,50.29,0
2018-04-20 07:16:06,25.42,0,0,30.67
2018-04-20 07:16:17,25.39,0,50.3,30.67
2018-04-20 07:16:28,25.39,0,50.31,30.65
2018-04-20 07:16:40,25.32,0,50.32,30.65
2018-04-20 07:16:52,25.32,0,50.35,30.64
2018-04-20 07:17:03,25.36,0,50.37,30.64
2018-04-20 07:17:15,25.36,0,50.39,30.63
2018-04-20 07:17:26,25.46,0,50.4,30.62
2018-04-20 07:17:37,25.39,0,50.41,30.62
2018-04-20 07:17:49,25.36,0,50.44,30.6
2018-04-20 07:18:00,25.36,0,50.45,30.6
2018-04-20 07:18:11,25.42,0,50.48,30.59
2018-04-20 07:18:22,25.42,0,50.5,30.59
2018-04-20 07:18:33,0,0,50.5,0
2018-04-20 07:18:34,25.36,0,0,30.58
2018-04-20 07:18:45,25.39,0,50.52,30.59
2018-04-20 07:18:56,25.39,0,50.53,30.58
2018-04-20 07:19:07,25.42,0,50.54,30.58
2018-04-20 07:19:19,25.42,0,50.55,30.58
2018-04-20 07:19:30,25.42,0,50.56,30.57
2018-04-20 07:19:41,0,0,50.59,0
2018-04-20 07:19:42,25.39,0,0,30.58
2018-04-20 07:19:53,25.39,0,50.59,30.58
2018-04-20 07:20:04,25.39,0,50.59,30.57
2018-04-20 07:20:15,0,0,50.6,0
2018-04-20 07:20:16,25.53,0,0,30.57
2018-04-20 07:20:27,25.46,0,50.6,30.57
2018-04-20 07:20:38,25.42,0,50.6,30.57
2018-04-20 07:20:49,25.42,0,50.61,30.56
2018-04-20 07:21:01,25.42,0,50.62,30.55
2018-04-20 07:21:12,25.46,0,50.62,30.56
2018-04-20 07:21:23,0,0,50.65,0
2018-04-20 07:21:24,25.46,0,0,30.55
2018-04-20 07:21:35,25.39,0,50.65,30.56
2018-04-20 07:21:46,25.42,0,50.66,30.55
2018-04-20 07:21:58,25.46,0,50.68,30.55
2018-04-20 07:22:09,25.42,0,50.7,30.55
2018-04-20 07:22:21,25.46,0,50.72,30.54
2018-04-20 07:22:32,25.39,0,50.72,30.55
2018-04-20 07:22:43,25.46,0,50.72,30.54
2018-04-20 07:22:54,25.42,0,50.74,30.54
2018-04-20 07:23:05,0,0,50.75,0
2018-04-20 07:23:06,25.46,0,0,30.53
