"created","tp9"
2018-05-16 16:50:18,37.58
2018-05-16 16:50:36,37.58
2018-05-16 16:50:55,37.54
2018-05-16 16:51:13,37.58
2018-05-16 16:51:32,37.58
2018-05-16 16:51:50,37.58
2018-05-16 16:52:09,37.58
2018-05-16 16:52:27,37.58
2018-05-16 16:52:46,37.58
2018-05-16 16:53:05,37.63
2018-05-16 16:53:24,37.58
2018-05-16 16:53:43,37.58
2018-05-16 16:54:02,37.67
2018-05-16 16:54:20,37.67
2018-05-16 16:54:39,37.67
2018-05-16 16:54:57,37.63
2018-05-16 16:55:16,37.63
2018-05-16 16:55:34,37.63
2018-05-16 16:55:54,37.75
2018-05-16 16:56:12,37.75
2018-05-16 16:56:31,37.71
2018-05-16 16:56:50,37.75
2018-05-16 16:57:08,37.71
2018-05-16 16:57:26,37.71
2018-05-16 16:57:45,37.58
2018-05-16 16:58:04,37.75
2018-05-16 16:58:22,37.71
2018-05-16 16:58:40,37.71
2018-05-16 16:58:59,37.66
2018-05-16 16:59:17,37.71
2018-05-16 16:59:36,37.66
2018-05-16 16:59:56,37.66
2018-05-16 17:00:16,37.66
2018-05-16 17:00:36,37.62
2018-05-16 17:00:55,37.62
2018-05-16 17:01:15,37.62
2018-05-16 17:01:34,37.62
2018-05-16 17:01:53,37.62
2018-05-16 17:02:12,37.62
2018-05-16 17:02:32,37.62
2018-05-16 17:02:50,37.66
2018-05-16 17:03:09,37.62
2018-05-16 17:03:28,37.74
2018-05-16 17:03:47,37.62
2018-05-16 17:04:06,37.57
2018-05-16 17:04:24,37.62
2018-05-16 17:04:43,37.62
2018-05-16 17:05:01,37.65
2018-05-16 17:05:21,37.65
2018-05-16 17:05:39,37.61
2018-05-16 17:05:57,37.65
2018-05-16 17:06:15,37.61
2018-05-16 17:06:34,37.61
2018-05-16 17:06:53,37.61
2018-05-16 17:07:11,37.56
2018-05-16 17:07:30,37.56
2018-05-16 17:07:49,37.52
2018-05-16 17:08:09,37.52
2018-05-16 17:08:28,37.52
2018-05-16 17:08:46,37.61
2018-05-16 17:09:06,37.7
2018-05-16 17:09:25,37.61
2018-05-16 17:09:44,37.65
2018-05-16 17:10:03,37.56
2018-05-16 17:10:21,37.56
2018-05-16 17:10:39,37.56
