"created_at","data"
2018-05-19 14:00:12,33.87
2018-05-19 14:00:30,33.82
2018-05-19 14:00:48,33.86
2018-05-19 14:01:07,33.82
2018-05-19 14:01:25,33.82
2018-05-19 14:01:43,33.82
2018-05-19 14:02:01,33.73
2018-05-19 14:02:19,33.73
2018-05-19 14:02:38,33.64
2018-05-19 14:02:56,33.73
2018-05-19 14:03:14,33.77
2018-05-19 14:03:33,33.73
2018-05-19 14:03:51,33.73
2018-05-19 14:04:09,33.73
2018-05-19 14:04:27,33.73
2018-05-19 14:04:45,33.77
2018-05-19 14:05:03,33.77
2018-05-19 14:05:21,33.73
2018-05-19 14:05:39,33.86
2018-05-19 14:05:58,33.86
2018-05-19 14:06:16,33.92
2018-05-19 14:06:34,34.01
2018-05-19 14:06:52,34.01
2018-05-19 14:07:11,34.01
2018-05-19 14:07:29,33.96
2018-05-19 14:07:48,34.01
2018-05-19 14:08:05,34.05
2018-05-19 14:08:24,34.1
2018-05-19 14:08:42,34.1
2018-05-19 14:09:00,34.1
2018-05-19 14:09:19,34.1
2018-05-19 14:09:37,34.05
2018-05-19 14:09:55,33.96
2018-05-19 14:10:15,34.1
2018-05-19 14:10:33,34.05
2018-05-19 14:10:52,33.96
2018-05-19 14:11:10,33.87
2018-05-19 14:11:28,33.86
2018-05-19 14:11:47,33.77
2018-05-19 14:12:05,33.77
2018-05-19 14:12:24,33.82
2018-05-19 14:12:42,33.73
2018-05-19 14:13:01,33.73
2018-05-19 14:13:19,33.82
2018-05-19 14:13:37,33.82
2018-05-19 14:13:55,33.86
2018-05-19 14:14:14,33.86
2018-05-19 14:14:32,33.82
2018-05-19 14:14:51,33.87
2018-05-19 14:15:09,33.87
2018-05-19 14:15:27,34.01
2018-05-19 14:15:45,34.1
2018-05-19 14:16:04,34.18
2018-05-19 14:16:23,34.27
2018-05-19 14:16:41,34.23
2018-05-19 14:16:59,34.27
2018-05-19 14:17:17,34.18
2018-05-19 14:17:36,34.23
2018-05-19 14:17:54,34.14
2018-05-19 14:18:13,34.05
2018-05-19 14:18:31,33.96
2018-05-19 14:18:50,34.01
2018-05-19 14:19:09,33.96
2018-05-19 14:19:26,33.92
2018-05-19 14:19:45,33.92
2018-05-19 14:20:03,33.87
2018-05-19 14:20:21,33.77
2018-05-19 14:20:38,33.82
2018-05-19 14:20:56,33.82
2018-05-19 14:21:14,33.77
2018-05-19 14:21:31,33.73
2018-05-19 14:21:49,33.82
2018-05-19 14:22:07,33.86
2018-05-19 14:22:25,33.86
2018-05-19 14:22:43,33.77
2018-05-19 14:23:01,33.86
2018-05-19 14:23:19,33.86
2018-05-19 14:23:38,33.86
2018-05-19 14:23:56,33.86
2018-05-19 14:24:14,33.95
2018-05-19 14:24:32,33.82
2018-05-19 14:24:50,33.86
2018-05-19 14:25:09,33.82
2018-05-19 14:25:27,33.77
2018-05-19 14:25:45,33.73
2018-05-19 14:26:04,33.9
2018-05-19 14:26:24,33.64
2018-05-19 14:26:42,33.85
2018-05-19 14:27:01,33.95
2018-05-19 14:27:20,34
2018-05-19 14:27:39,34
2018-05-19 14:27:58,34
2018-05-19 14:28:16,33.86
2018-05-19 14:28:34,33.95
2018-05-19 14:28:52,34.04
2018-05-19 14:29:11,34.04
2018-05-19 14:29:29,34.01
2018-05-19 14:29:47,34.18
2018-05-19 14:30:05,34.13
2018-05-19 14:30:24,34.09
2018-05-19 14:30:42,34.04
2018-05-19 14:30:59,34
2018-05-19 14:31:18,33.95
2018-05-19 14:31:36,33.91
2018-05-19 14:31:54,33.95
2018-05-19 14:32:12,33.91
2018-05-19 14:32:30,33.9
2018-05-19 14:32:49,33.85
2018-05-19 14:33:07,33.85
2018-05-19 14:33:25,33.76
2018-05-19 14:33:44,33.67
2018-05-19 14:34:03,33.76
2018-05-19 14:34:22,33.72
2018-05-19 14:34:40,33.72
2018-05-19 14:34:58,33.67
2018-05-19 14:35:16,33.63
2018-05-19 14:35:35,33.63
2018-05-19 14:35:53,33.67
2018-05-19 14:36:11,33.63
2018-05-19 14:36:30,33.63
2018-05-19 14:36:49,33.72
2018-05-19 14:37:06,33.58
2018-05-19 14:37:24,33.54
2018-05-19 14:37:42,33.49
2018-05-19 14:38:01,33.49
2018-05-19 14:38:19,33.36
2018-05-19 14:38:37,33.45
2018-05-19 14:38:56,33.4
2018-05-19 14:39:14,33.45
2018-05-19 14:39:32,33.54
2018-05-19 14:39:49,33.45
2018-05-19 14:40:07,33.45
2018-05-19 14:40:25,33.49
2018-05-19 14:40:43,33.4
2018-05-19 14:41:01,33.4
2018-05-19 14:41:20,33.45
2018-05-19 14:41:37,33.45
2018-05-19 14:41:56,33.45
2018-05-19 14:42:14,33.63
2018-05-19 14:42:32,33.8
2018-05-19 14:42:51,33.67
2018-05-19 14:43:09,33.67
2018-05-19 14:43:27,33.85
2018-05-19 14:43:46,33.76
2018-05-19 14:44:04,33.89
2018-05-19 14:44:22,33.85
2018-05-19 14:44:40,33.95
2018-05-19 14:44:57,33.99
2018-05-19 14:45:15,33.99
2018-05-19 14:45:33,34.03
2018-05-19 14:45:51,33.99
2018-05-19 14:46:09,33.72
2018-05-19 14:46:27,33.8
2018-05-19 14:46:45,33.75
2018-05-19 14:47:03,33.8
2018-05-19 14:47:22,33.75
2018-05-19 14:47:40,33.71
2018-05-19 14:47:59,33.66
2018-05-19 14:48:17,33.66
2018-05-19 14:48:35,33.62
2018-05-19 14:48:53,33.66
2018-05-19 14:49:11,33.75
2018-05-19 14:49:30,33.75
2018-05-19 14:49:48,33.84
2018-05-19 14:50:06,33.8
2018-05-19 14:50:25,33.75
2018-05-19 14:50:42,33.75
2018-05-19 14:51:01,33.8
