datetime,Value
2018-04-28 16:00:00,760.0
2018-04-28 17:00:00,5.0
2018-04-28 18:00:00,5.0
2018-04-28 19:00:00,5.0
2018-04-28 20:00:00,4.5
2018-04-28 21:00:00,3.5
2018-04-28 22:00:00,1.0
2018-04-28 23:00:00,0.950
2018-04-29 0:00:00,0.900
2018-04-29 1:00:00,0.850
2018-04-29 2:00:00,0.800
2018-04-29 3:00:00,0.750
2018-04-29 4:00:00,0.700
2018-04-29 5:00:00,0.650
2018-04-29 6:00:00,0.600
2018-04-29 7:00:00,0.550
2018-04-29 8:00:00,0.500
2018-04-29 9:00:00,0.450
2018-04-29 10:00:00,0.425
2018-04-29 11:00:00,0.400
2018-04-29 12:00:00,0.380
2018-04-29 13:00:00,0.360
2018-04-29 14:00:00,0.340
2018-04-29 15:00:00,0.320
2018-04-29 16:00:00,0.300
2018-04-29 17:00:00,0.280
2018-04-29 18:00:00,0.270
2018-04-29 19:00:00,0.260
2018-04-29 20:00:00,0.255
2018-04-29 21:00:00,0.254
2018-04-29 22:00:00,0.253
2018-04-29 23:00:00,0.252
2018-04-30 0:00:00,0.251
2018-04-30 1:00:00,0.250
2018-04-30 2:00:00,0.249
2018-04-30 3:00:00,0.248
2018-04-30 4:00:00,0.240
2018-04-30 5:00:00,0.230
2018-04-30 6:00:00,0.225
2018-04-30 7:00:00,0.220
2018-04-30 8:00:00,0.210
2018-04-30 9:00:00,0.200
2018-04-30 10:00:00,0.190
2018-04-30 11:00:00,0.180
2018-04-30 12:00:00,0.170
2018-04-30 13:00:00,0.160
2018-04-30 14:00:00,0.150
2018-04-30 15:00:00,0.140
2018-04-30 16:00:00,0.130
2018-04-30 17:00:00,0.120
2018-04-30 18:00:00,0.120
2018-04-30 19:00:00,0.120
2018-04-30 20:00:00,0.120
2018-04-30 21:00:00,0.120
2018-04-30 22:00:00,0.120
2018-04-30 23:00:00,0.120
2018-05-01 0:00:00,0.120
2018-05-01 1:00:00,0.120
2018-05-01 2:00:00,0.120
2018-05-01 3:00:00,0.120
2018-05-01 4:00:00,0.120
2018-05-01 5:00:00,0.120
2018-05-01 6:00:00,0.120
2018-05-01 7:00:00,0.120
2018-05-01 8:00:00,0.120
2018-05-01 9:00:00,0.120
2018-05-01 10:00:00,0.120
2018-05-01 11:00:00,0.120
2018-05-01 12:00:00,0.120
2018-05-01 13:00:00,0.120
2018-05-01 14:00:00,0.120
