datetime,Value
2018-04-25 11:00:00,760.0
2018-04-25 12:00:00,5.0
2018-04-25 13:00:00,4.9
2018-04-25 14:00:00,4.0
2018-04-25 15:00:00,3.0
2018-04-25 16:00:00,2.0
2018-04-25 17:00:00,1.0
2018-04-25 18:00:00,0.950
2018-04-25 19:00:00,0.900
2018-04-25 20:00:00,0.850
2018-04-25 21:00:00,0.750
2018-04-25 22:00:00,0.650
2018-04-25 23:00:00,0.550
2018-04-26 0:00:00,0.500
2018-04-26 1:00:00,0.480
2018-04-26 2:00:00,0.460
2018-04-26 3:00:00,0.440
2018-04-26 4:00:00,0.420
2018-04-26 5:00:00,0.400
2018-04-26 6:00:00,0.380
2018-04-26 7:00:00,0.370
2018-04-26 8:00:00,0.360
2018-04-26 9:00:00,0.350
2018-04-26 10:00:00,0.350
2018-04-26 11:00:00,0.350
2018-04-26 12:00:00,0.350
2018-04-26 13:00:00,0.340
2018-04-26 14:00:00,0.320
2018-04-26 15:00:00,0.310
2018-04-26 16:00:00,0.280
2018-04-26 17:00:00,0.270
2018-04-26 18:00:00,0.260
2018-04-26 19:00:00,0.250
2018-04-26 20:00:00,0.240
2018-04-26 21:00:00,0.230
2018-04-26 22:00:00,0.220
2018-04-26 23:00:00,0.210
2018-04-27 0:00:00,0.200
2018-04-27 1:00:00,0.200
2018-04-27 2:00:00,0.200
2018-04-27 3:00:00,0.200
2018-04-27 4:00:00,0.200
2018-04-27 5:00:00,0.200
2018-04-27 6:00:00,760.0
2018-04-27 7:00:00,5.0
2018-04-27 8:00:00,0.200
2018-04-27 9:00:00,0.200
2018-04-27 10:00:00,0.198
2018-04-27 11:00:00,0.196
2018-04-27 12:00:00,0.190
2018-04-27 13:00:00,0.170
2018-04-27 14:00:00,0.160
2018-04-27 15:00:00,0.150
2018-04-27 16:00:00,0.135
2018-04-27 17:00:00,0.110
2018-04-27 18:00:00,0.098
2018-04-27 19:00:00,0.095
2018-04-27 20:00:00,0.094
2018-04-27 21:00:00,0.093
2018-04-27 22:00:00,0.092
2018-04-27 23:00:00,0.091
2018-04-28 0:00:00,0.090
2018-04-28 1:00:00,0.088
2018-04-28 2:00:00,0.087
2018-04-28 3:00:00,0.086
2018-04-28 4:00:00,0.085
2018-04-28 5:00:00,0.085
2018-04-28 6:00:00,0.085
2018-04-28 7:00:00,0.082
2018-04-28 8:00:00,0.080
2018-04-28 9:00:00,0.080
2018-04-28 10:00:00,0.080
2018-04-28 11:00:00,0.080
2018-04-28 12:00:00,0.080
2018-04-28 13:00:00,0.080
2018-04-28 14:00:00,0.080
2018-04-28 15:00:00,0.080
2018-04-28 16:00:00,0.080
2018-04-28 17:00:00,0.080
2018-04-28 18:00:00,760.0
2018-04-28 19:00:00,760.0
2018-04-28 20:00:00,760.0
2018-04-28 21:00:00,760.0
2018-04-28 22:00:00,5.0
2018-04-28 23:00:00,0.900
2018-04-29 0:00:00,0.700
2018-04-29 1:00:00,0.600
2018-04-29 2:00:00,0.550
2018-04-29 3:00:00,0.500
2018-04-29 4:00:00,0.450
2018-04-29 5:00:00,0.400
2018-04-29 6:00:00,0.350
2018-04-29 7:00:00,0.330
2018-04-29 8:00:00,0.310
2018-04-29 9:00:00,0.280
2018-04-29 10:00:00,0.270
2018-04-29 11:00:00,0.250
2018-04-29 12:00:00,0.240
2018-04-29 13:00:00,0.230
2018-04-29 14:00:00,0.220
2018-04-29 15:00:00,0.210
2018-04-29 16:00:00,0.200
2018-04-29 17:00:00,0.190
2018-04-29 18:00:00,0.180
2018-04-29 19:00:00,0.170
2018-04-29 20:00:00,0.160
2018-04-29 21:00:00,0.150
2018-04-29 22:00:00,0.140
2018-04-29 23:00:00,0.130
2018-04-30 0:00:00,0.120
2018-04-30 1:00:00,0.110
2018-04-30 2:00:00,0.105
2018-04-30 3:00:00,0.100
2018-04-30 4:00:00,0.099
2018-04-30 5:00:00,0.098
2018-04-30 6:00:00,0.098
2018-04-30 7:00:00,0.097
2018-04-30 8:00:00,0.097
2018-04-30 9:00:00,0.097
2018-04-30 10:00:00,0.096
2018-04-30 11:00:00,0.096
2018-04-30 12:00:00,0.090
2018-04-30 13:00:00,0.083
2018-04-30 14:00:00,0.080
2018-04-30 15:00:00,0.078
2018-04-30 16:00:00,0.076
2018-04-30 17:00:00,0.075
2018-04-30 18:00:00,0.075
2018-04-30 19:00:00,0.075
2018-04-30 20:00:00,0.075
2018-04-30 21:00:00,0.075
2018-04-30 22:00:00,0.075
2018-04-30 23:00:00,0.075
2018-05-01 0:00:00,0.075
2018-05-01 1:00:00,0.075
2018-05-01 2:00:00,0.075
2018-05-01 3:00:00,0.075
2018-05-01 4:00:00,0.074
2018-05-01 5:00:00,0.074
2018-05-01 6:00:00,0.073
2018-05-01 7:00:00,0.073
2018-05-01 8:00:00,0.072
2018-05-01 9:00:00,0.072
2018-05-01 10:00:00,0.072
2018-05-01 11:00:00,0.072
2018-05-01 12:00:00,0.068
2018-05-01 13:00:00,0.067
2018-05-01 14:00:00,0.065
2018-05-01 15:00:00,0.065
2018-05-01 16:00:00,0.064
2018-05-01 17:00:00,0.064
2018-05-01 18:00:00,0.064
2018-05-01 19:00:00,0.064
2018-05-01 20:00:00,0.064
2018-05-01 21:00:00,0.064
2018-05-01 22:00:00,0.064
2018-05-01 23:00:00,0.064
2018-05-02 0:00:00,0.064
2018-05-02 1:00:00,0.063
2018-05-02 2:00:00,0.063
2018-05-02 3:00:00,0.063
2018-05-02 4:00:00,0.063
2018-05-02 5:00:00,0.062
2018-05-02 6:00:00,0.062
2018-05-02 7:00:00,0.061
2018-05-02 8:00:00,0.060
2018-05-02 9:00:00,0.059
2018-05-02 10:00:00,0.059
2018-05-02 11:00:00,0.059
2018-05-02 12:00:00,0.059
2018-05-02 13:00:00,0.059
2018-05-02 14:00:00,0.059
2018-05-02 15:00:00,0.059
2018-05-02 16:00:00,0.058
2018-05-02 17:00:00,0.058
2018-05-02 18:00:00,0.058
2018-05-02 19:00:00,0.057
2018-05-02 20:00:00,0.057
2018-05-02 21:00:00,0.057
2018-05-02 22:00:00,0.057
