datetime,Value
2018-05-19 18:00:00,760.0
2018-05-19 19:00:00,5.0
2018-05-19 20:00:00,4.0
2018-05-19 21:00:00,3.0
2018-05-19 22:00:00,3.0
2018-05-19 23:00:00,3.0
2018-05-20 0:00:00,3.0
2018-05-20 1:00:00,3.000
2018-05-20 2:00:00,3.000
2018-05-20 3:00:00,3.000
2018-05-20 4:00:00,3.000
2018-05-20 5:00:00,3.000
2018-05-20 6:00:00,3.000
2018-05-20 7:00:00,3.000
2018-05-20 8:00:00,3.000
2018-05-20 9:00:00,3.000
2018-05-20 10:00:00,3.000
2018-05-20 11:00:00,3.000
2018-05-20 12:00:00,3.000
2018-05-20 13:00:00,3.000
2018-05-20 14:00:00,3.000
2018-05-20 15:00:00,1.000
2018-05-20 16:00:00,0.800
2018-05-20 17:00:00,0.600
2018-05-20 18:00:00,0.450
2018-05-20 19:00:00,0.350
2018-05-20 20:00:00,0.300
2018-05-20 21:00:00,0.280
2018-05-20 22:00:00,0.260
2018-05-20 23:00:00,0.240
2018-05-21 0:00:00,0.220
2018-05-21 1:00:00,0.200
2018-05-21 2:00:00,0.180
2018-05-21 3:00:00,0.160
2018-05-21 4:00:00,0.155
2018-05-21 5:00:00,0.150
2018-05-21 6:00:00,0.145
2018-05-21 7:00:00,0.140
2018-05-21 8:00:00,0.135
2018-05-21 9:00:00,0.130
2018-05-21 10:00:00,0.128
2018-05-21 11:00:00,0.124
2018-05-21 12:00:00,0.117
2018-05-21 13:00:00,0.109
2018-05-21 14:00:00,0.105
2018-05-21 15:00:00,0.098
2018-05-21 16:00:00,0.096
2018-05-21 17:00:00,0.095
2018-05-21 18:00:00,0.094
2018-05-21 19:00:00,0.093
2018-05-21 20:00:00,0.091
2018-05-21 21:00:00,0.090
2018-05-21 22:00:00,0.088
2018-05-21 23:00:00,0.086
2018-05-22 0:00:00,0.084
2018-05-22 1:00:00,0.084
2018-05-22 2:00:00,0.084
2018-05-22 3:00:00,0.084
2018-05-22 4:00:00,0.084
2018-05-22 5:00:00,0.084
2018-05-22 6:00:00,0.084
2018-05-22 7:00:00,0.077
2018-05-22 8:00:00,0.077
2018-05-22 9:00:00,0.760
2018-05-22 10:00:00,0.075
2018-05-22 11:00:00,0.074
2018-05-22 12:00:00,0.073
2018-05-22 13:00:00,0.073
2018-05-22 14:00:00,0.072
2018-05-22 15:00:00,0.072
2018-05-22 16:00:00,0.071
2018-05-22 17:00:00,0.071
2018-05-22 18:00:00,0.070
2018-05-22 19:00:00,0.070
2018-05-22 20:00:00,0.070
2018-05-22 21:00:00,0.070
2018-05-22 22:00:00,0.070
2018-05-22 23:00:00,0.070
2018-05-23 0:00:00,0.070
2018-05-23 1:00:00,0.070
2018-05-23 2:00:00,0.070
2018-05-23 3:00:00,0.070
2018-05-23 4:00:00,0.070
2018-05-23 5:00:00,0.070
2018-05-23 6:00:00,0.070
2018-05-23 7:00:00,0.070
2018-05-23 8:00:00,0.070
2018-05-23 9:00:00,0.070
2018-05-23 10:00:00,0.070
2018-05-23 11:00:00,0.070
2018-05-23 12:00:00,0.069
2018-05-23 13:00:00,0.069
2018-05-23 14:00:00,0.068
2018-05-23 15:00:00,0.068
2018-05-23 16:00:00,0.067
2018-05-23 17:00:00,0.066
2018-05-23 18:00:00,0.065
2018-05-23 19:00:00,0.065
2018-05-23 20:00:00,0.065
2018-05-23 21:00:00,0.065
