datetime,Value
2018-05-08 19:00:00,760.0
2018-05-08 20:00:00,5.0
2018-05-08 21:00:00,4.0
2018-05-08 22:00:00,2.0
2018-05-08 23:00:00,1.0
2018-05-09 0:00:00,0.8
2018-05-09 1:00:00,0.8
2018-05-09 2:00:00,0.800
2018-05-09 3:00:00,0.800
2018-05-09 4:00:00,0.800
2018-05-09 5:00:00,0.700
2018-05-09 6:00:00,0.600
2018-05-09 7:00:00,0.500
2018-05-09 8:00:00,0.400
2018-05-09 9:00:00,0.350
2018-05-09 10:00:00,0.300
2018-05-09 11:00:00,0.280
2018-05-09 12:00:00,0.260
2018-05-09 13:00:00,0.240
2018-05-09 14:00:00,0.220
2018-05-09 15:00:00,0.200
2018-05-09 16:00:00,0.190
2018-05-09 17:00:00,0.180
2018-05-09 18:00:00,0.150
2018-05-09 19:00:00,0.120
2018-05-09 20:00:00,0.105
2018-05-09 21:00:00,0.099
2018-05-09 22:00:00,0.099
2018-05-09 23:00:00,0.098
2018-05-10 0:00:00,0.098
2018-05-10 1:00:00,0.098
2018-05-10 2:00:00,0.097
2018-05-10 3:00:00,0.096
2018-05-10 4:00:00,0.094
2018-05-10 5:00:00,0.090
2018-05-10 6:00:00,0.085
2018-05-10 7:00:00,0.080
2018-05-10 8:00:00,0.077
2018-05-10 9:00:00,0.074
2018-05-10 10:00:00,0.071
2018-05-10 11:00:00,0.068
2018-05-10 12:00:00,0.067
2018-05-10 13:00:00,0.067
2018-05-10 14:00:00,0.066
2018-05-10 15:00:00,0.066
2018-05-10 16:00:00,0.065
2018-05-10 17:00:00,0.065
2018-05-10 18:00:00,0.065
2018-05-10 19:00:00,0.065
2018-05-10 20:00:00,0.065
2018-05-10 21:00:00,0.065
2018-05-10 22:00:00,0.065
2018-05-10 23:00:00,0.065
2018-05-11 0:00:00,0.064
2018-05-11 1:00:00,0.064
2018-05-11 2:00:00,0.064
2018-05-11 3:00:00,0.064
2018-05-11 4:00:00,0.064
2018-05-11 5:00:00,0.064
2018-05-11 6:00:00,0.064
2018-05-11 7:00:00,0.064
2018-05-11 8:00:00,0.064
2018-05-11 9:00:00,0.064
2018-05-11 10:00:00,0.064
2018-05-11 11:00:00,0.064
2018-05-11 12:00:00,0.064
2018-05-11 13:00:00,0.064
2018-05-11 14:00:00,0.064
2018-05-11 15:00:00,0.064
2018-05-11 16:00:00,0.064
2018-05-11 17:00:00,0.064
2018-05-11 18:00:00,0.064
2018-05-11 19:00:00,0.064
2018-05-11 20:00:00,0.063
2018-05-11 21:00:00,0.063
2018-05-11 22:00:00,0.063
2018-05-11 23:00:00,0.063
2018-05-12 0:00:00,0.063
2018-05-12 1:00:00,0.063
2018-05-12 2:00:00,0.063
2018-05-12 3:00:00,0.063
