datetime,Value
2018-04-26 17:00:00,760.0
2018-04-26 18:00:00,5.0
2018-04-26 19:00:00,4.0
2018-04-26 20:00:00,3.5
2018-04-26 21:00:00,3.2
2018-04-26 22:00:00,2.0
2018-04-26 23:00:00,1.0
2018-04-27 0:00:00,0.800
2018-04-27 1:00:00,0.700
2018-04-27 2:00:00,0.600
2018-04-27 3:00:00,0.500
2018-04-27 4:00:00,0.480
2018-04-27 5:00:00,0.460
2018-04-27 6:00:00,0.440
2018-04-27 7:00:00,0.420
2018-04-27 8:00:00,0.400
2018-04-27 9:00:00,0.350
2018-04-27 10:00:00,0.340
2018-04-27 11:00:00,0.330
2018-04-27 12:00:00,0.320
2018-04-27 13:00:00,0.280
2018-04-27 14:00:00,0.270
2018-04-27 15:00:00,0.268
2018-04-27 16:00:00,0.266
2018-04-27 17:00:00,0.264
2018-04-27 18:00:00,0.260
2018-04-27 19:00:00,0.252
2018-04-27 20:00:00,0.250
2018-04-27 21:00:00,0.248
2018-04-27 22:00:00,0.245
2018-04-27 23:00:00,0.240
2018-04-28 0:00:00,0.235
2018-04-28 1:00:00,0.230
2018-04-28 2:00:00,0.227
2018-04-28 3:00:00,0.224
2018-04-28 4:00:00,0.220
2018-04-28 5:00:00,0.220
2018-04-28 6:00:00,0.220
2018-04-28 7:00:00,0.220
2018-04-28 8:00:00,0.220
2018-04-28 9:00:00,0.220
2018-04-28 10:00:00,0.220
2018-04-28 11:00:00,0.220
2018-04-28 12:00:00,0.220
2018-04-28 13:00:00,0.215
2018-04-28 14:00:00,0.210
2018-04-28 15:00:00,0.200
2018-04-28 16:00:00,0.190
2018-04-28 17:00:00,0.190
2018-04-28 18:00:00,0.188
2018-04-28 19:00:00,0.186
2018-04-28 20:00:00,0.184
2018-04-28 21:00:00,0.182
2018-04-28 22:00:00,0.210
2018-04-28 23:00:00,0.210
2018-04-29 0:00:00,0.210
2018-04-29 1:00:00,0.210
2018-04-29 2:00:00,0.210
