datetime,Value
2018-04-22 4:00:00,1.0
2018-04-22 5:00:00,0.800
2018-04-22 6:00:00,0.600
2018-04-22 7:00:00,0.400
2018-04-22 8:00:00,0.350
2018-04-22 9:00:00,0.300
2018-04-22 10:00:00,0.280
2018-04-22 11:00:00,0.260
2018-04-22 12:00:00,0.230
2018-04-22 13:00:00,0.500
2018-04-22 14:00:00,760.0
2018-04-22 15:00:00,760.0
2018-04-22 16:00:00,0.900
2018-04-22 17:00:00,0.800
2018-04-22 18:00:00,0.600
2018-04-22 19:00:00,0.300
2018-04-22 20:00:00,0.280
2018-04-22 21:00:00,0.260
2018-04-22 22:00:00,0.240
2018-04-22 23:00:00,0.220
2018-04-23 0:00:00,0.210
2018-04-23 1:00:00,0.200
2018-04-23 2:00:00,0.190
2018-04-23 3:00:00,0.180
2018-04-23 4:00:00,0.174
2018-04-23 5:00:00,0.175
2018-04-23 6:00:00,0.170
2018-04-23 7:00:00,0.168
2018-04-23 8:00:00,0.164
2018-04-23 9:00:00,0.162
2018-04-23 10:00:00,0.160
2018-04-23 11:00:00,0.158
2018-04-23 12:00:00,0.155
2018-04-23 13:00:00,0.150
2018-04-23 14:00:00,0.148
2018-04-23 15:00:00,0.146
2018-04-23 16:00:00,0.144
2018-04-23 17:00:00,0.143
2018-04-23 18:00:00,0.142
2018-04-23 19:00:00,0.140
2018-04-23 20:00:00,0.138
2018-04-23 21:00:00,0.136
2018-04-23 22:00:00,0.133
2018-04-23 23:00:00,0.130
2018-04-24 0:00:00,0.127
2018-04-24 1:00:00,0.124
2018-04-24 2:00:00,0.120
2018-04-24 3:00:00,0.117
2018-04-24 4:00:00,0.117
2018-04-24 5:00:00,0.116
2018-04-24 6:00:00,0.116
2018-04-24 7:00:00,0.116
2018-04-24 8:00:00,0.116
2018-04-24 9:00:00,0.116
2018-04-24 10:00:00,0.116
2018-04-24 11:00:00,0.116
2018-04-24 12:00:00,0.116
2018-04-24 13:00:00,0.116
2018-04-24 14:00:00,0.116
2018-04-24 15:00:00,0.116
2018-04-24 16:00:00,0.116
2018-04-24 17:00:00,0.110
2018-04-24 18:00:00,0.087
2018-04-24 19:00:00,0.073
2018-04-24 20:00:00,0.050
2018-04-24 21:00:00,0.050
2018-04-24 22:00:00,0.050
2018-04-24 23:00:00,0.050
2018-04-25 0:00:00,0.050
2018-04-25 1:00:00,0.049
2018-04-25 2:00:00,0.049
2018-04-25 3:00:00,0.048
2018-04-25 4:00:00,0.048
2018-04-25 5:00:00,0.048
2018-04-25 6:00:00,0.048
2018-04-25 7:00:00,0.048
2018-04-25 8:00:00,0.048
2018-04-25 9:00:00,0.048
2018-04-25 10:00:00,0.048
2018-04-25 11:00:00,0.048
2018-04-25 12:00:00,0.048
2018-04-25 13:00:00,0.048
2018-04-25 14:00:00,0.048
2018-04-25 15:00:00,0.048
2018-04-25 16:00:00,0.048
2018-04-25 17:00:00,0.048
2018-04-25 18:00:00,0.048
2018-04-25 19:00:00,0.048
2018-04-25 20:00:00,0.048
2018-04-25 21:00:00,0.048
2018-04-25 22:00:00,0.048
2018-04-25 23:00:00,0.048
2018-04-26 0:00:00,0.048
2018-04-26 1:00:00,0.048
2018-04-26 2:00:00,0.048
2018-04-26 3:00:00,0.048
2018-04-26 4:00:00,0.048
2018-04-26 5:00:00,0.048
2018-04-26 6:00:00,0.048
2018-04-26 7:00:00,0.048
2018-04-26 8:00:00,0.048
2018-04-26 9:00:00,0.048
2018-04-26 10:00:00,0.048
2018-04-26 11:00:00,0.048
2018-04-26 12:00:00,0.048
2018-04-26 13:00:00,0.048
2018-04-26 14:00:00,0.047
2018-04-26 15:00:00,0.047
2018-04-26 16:00:00,0.047
2018-04-26 17:00:00,0.046
2018-04-26 18:00:00,0.045
