"created_at","data"
2018-05-19 14:00:11,718.93
2018-05-19 14:00:22,718.93
2018-05-19 14:00:33,719.01
2018-05-19 14:00:44,718.93
2018-05-19 14:00:56,718.93
2018-05-19 14:01:07,719.01
2018-05-19 14:01:18,718.93
2018-05-19 14:01:30,718.93
2018-05-19 14:01:41,718.93
2018-05-19 14:01:52,719.01
2018-05-19 14:02:03,718.93
2018-05-19 14:02:14,719.01
2018-05-19 14:02:26,718.93
2018-05-19 14:02:37,718.93
2018-05-19 14:02:48,718.93
2018-05-19 14:03:00,718.93
2018-05-19 14:03:11,718.93
2018-05-19 14:03:22,719.01
2018-05-19 14:03:34,718.93
2018-05-19 14:03:45,718.93
2018-05-19 14:03:56,718.93
2018-05-19 14:04:08,718.93
2018-05-19 14:04:19,718.93
2018-05-19 14:04:31,718.93
2018-05-19 14:04:42,718.93
2018-05-19 14:04:53,718.93
2018-05-19 14:05:04,718.93
2018-05-19 14:05:15,718.93
2018-05-19 14:05:27,719.01
2018-05-19 14:05:38,719.01
2018-05-19 14:05:49,718.93
2018-05-19 14:06:00,719.01
2018-05-19 14:06:12,719.01
2018-05-19 14:06:23,718.93
2018-05-19 14:06:34,718.93
2018-05-19 14:06:45,718.93
2018-05-19 14:06:56,719.01
2018-05-19 14:07:07,718.93
2018-05-19 14:07:19,719.01
2018-05-19 14:07:30,719.01
2018-05-19 14:07:42,719.01
2018-05-19 14:07:53,719.01
2018-05-19 14:08:04,719.01
2018-05-19 14:08:16,719.01
2018-05-19 14:08:27,718.93
2018-05-19 14:08:38,718.93
2018-05-19 14:08:50,719.01
2018-05-19 14:09:01,718.93
2018-05-19 14:09:12,718.93
2018-05-19 14:09:23,718.93
2018-05-19 14:09:35,718.93
2018-05-19 14:09:46,719.01
2018-05-19 14:09:57,718.93
2018-05-19 14:10:08,718.93
2018-05-19 14:10:20,718.93
2018-05-19 14:10:31,718.93
2018-05-19 14:10:42,718.93
2018-05-19 14:10:54,718.93
2018-05-19 14:11:05,718.93
2018-05-19 14:11:17,718.93
2018-05-19 14:11:28,719.01
2018-05-19 14:11:39,718.93
2018-05-19 14:11:51,718.93
2018-05-19 14:12:02,718.93
2018-05-19 14:12:13,718.93
2018-05-19 14:12:24,718.93
2018-05-19 14:12:35,718.93
2018-05-19 14:12:47,718.93
2018-05-19 14:12:58,718.93
2018-05-19 14:13:09,718.93
2018-05-19 14:13:21,718.93
2018-05-19 14:13:32,718.93
2018-05-19 14:13:43,718.93
2018-05-19 14:13:55,718.93
2018-05-19 14:14:06,718.93
2018-05-19 14:14:17,718.93
2018-05-19 14:14:28,719.01
2018-05-19 14:14:40,719.01
2018-05-19 14:14:51,718.93
2018-05-19 14:15:02,719.01
2018-05-19 14:15:13,719.01
2018-05-19 14:15:25,719.01
2018-05-19 14:15:36,719.01
2018-05-19 14:15:47,719.01
2018-05-19 14:15:58,719.01
2018-05-19 14:16:09,719.01
2018-05-19 14:16:21,719.01
2018-05-19 14:16:32,719.01
2018-05-19 14:16:44,719.01
2018-05-19 14:16:55,719.01
2018-05-19 14:17:06,718.93
2018-05-19 14:17:18,719.01
2018-05-19 14:17:29,719.01
2018-05-19 14:17:40,719.01
2018-05-19 14:17:51,719.01
2018-05-19 14:18:03,719.01
2018-05-19 14:18:14,719.01
2018-05-19 14:18:25,719.01
2018-05-19 14:18:37,719.01
2018-05-19 14:18:48,719.01
2018-05-19 14:18:59,719.01
2018-05-19 14:19:10,719.01
2018-05-19 14:19:22,719.01
2018-05-19 14:19:33,719.01
2018-05-19 14:19:45,719.01
2018-05-19 14:19:56,719.01
2018-05-19 14:20:07,719.08
2018-05-19 14:20:19,719.08
2018-05-19 14:20:30,719.01
2018-05-19 14:20:41,719.01
2018-05-19 14:20:52,719.08
2018-05-19 14:21:04,719.01
2018-05-19 14:21:15,719.08
2018-05-19 14:21:27,719.01
2018-05-19 14:21:38,719.08
2018-05-19 14:21:49,719.08
2018-05-19 14:22:00,719.01
2018-05-19 14:22:11,719.01
2018-05-19 14:22:22,719.01
2018-05-19 14:22:34,719.08
2018-05-19 14:22:45,719.01
2018-05-19 14:22:56,719.08
2018-05-19 14:23:07,719.08
2018-05-19 14:23:19,719.08
2018-05-19 14:23:30,719.08
2018-05-19 14:23:42,719.08
2018-05-19 14:23:53,719.08
2018-05-19 14:24:09,719.08
2018-05-19 14:24:20,719.08
2018-05-19 14:24:31,719.08
2018-05-19 14:24:43,719.01
2018-05-19 14:24:54,719.08
2018-05-19 14:25:05,719.08
2018-05-19 14:25:16,719.08
2018-05-19 14:25:28,719.08
2018-05-19 14:25:39,719.08
2018-05-19 14:25:50,719.08
2018-05-19 14:26:02,719.08
2018-05-19 14:26:13,719.08
2018-05-19 14:26:24,719.08
2018-05-19 14:26:35,719.08
2018-05-19 14:26:46,719.08
2018-05-19 14:26:58,719.08
2018-05-19 14:27:09,719.08
2018-05-19 14:27:20,719.08
2018-05-19 14:27:32,719.08
2018-05-19 14:27:43,719.08
2018-05-19 14:27:54,719.08
2018-05-19 14:28:06,719.08
2018-05-19 14:28:17,719.01
2018-05-19 14:28:29,719.08
2018-05-19 14:28:40,719.01
2018-05-19 14:28:51,719.01
2018-05-19 14:29:03,719.01
2018-05-19 14:29:14,719.01
2018-05-19 14:29:25,719.08
2018-05-19 14:29:37,719.01
2018-05-19 14:29:48,719.08
2018-05-19 14:30:00,719.08
2018-05-19 14:30:11,719.08
2018-05-19 14:30:22,719.01
2018-05-19 14:30:34,719.01
2018-05-19 14:30:45,719.01
2018-05-19 14:30:56,719.01
2018-05-19 14:31:07,719.08
2018-05-19 14:31:19,719.01
2018-05-19 14:31:30,719.01
2018-05-19 14:31:42,719.01
2018-05-19 14:31:53,719.01
2018-05-19 14:32:04,719.08
2018-05-19 14:32:16,719.08
2018-05-19 14:32:27,719.08
2018-05-19 14:32:38,719.08
2018-05-19 14:32:50,719.08
2018-05-19 14:33:01,719.08
2018-05-19 14:33:13,719.08
2018-05-19 14:33:24,719.08
2018-05-19 14:33:35,719.08
2018-05-19 14:33:47,719.08
2018-05-19 14:33:58,719.08
2018-05-19 14:34:09,719.08
2018-05-19 14:34:20,719.08
2018-05-19 14:34:32,719.08
2018-05-19 14:34:43,719.08
2018-05-19 14:34:54,719.08
2018-05-19 14:35:06,719.08
2018-05-19 14:35:17,719.08
2018-05-19 14:35:28,719.08
2018-05-19 14:35:39,719.08
2018-05-19 14:35:51,719.16
2018-05-19 14:36:02,719.16
